Key	it-IT	en
PrimaGiornata-passaggio_lounge_giorno_uno-1d1f0433	Quello: Il Divo dice che è importante lasciare sempre qualcosa di sé in ciò che cuciniamo, sai?	
PrimaGiornata-passaggio_lounge_giorno_uno-8ee23824	Quello: Comunque piacere, il mio nome è Quello. A volte Quello Lì, altre volte Quell'altro. Le persone sanno essere così creative.	
PrimaGiornata-passaggio_lounge_giorno_uno-abfb0431	Quello: Come cercherai di stupire Dogron?	
PrimaGiornata-passaggio_lounge_giorno_uno-16e9972e	YOU: Non ferendo nessuno.	
PrimaGiornata-passaggio_lounge_giorno_uno-69ee561b	YOU: Fuggendo mentre tutte voi cucinate.	
PrimaGiornata-passaggio_lounge_giorno_uno-5931c5e8	YOU: Uova al tegamino?	
PrimaGiornata-passaggio_lounge_giorno_uno-d6fbc945	Quello: Woah, tu hai le idee chiarissime! Io volevo puntare su delle meringhe, ma il Divo l'ultima volta le ha definite troppo meringose, e non va bene. Capisce cosa è giusto in un colpo d'occhio!	
PrimaGiornata-passaggio_lounge_giorno_uno-12687051	Quello: So solo fare dolci, e allora pensavo di prendere del <b>burro</b> e un po' di altre cose, <b>montare</b> con pazienza a mano tutto e fare dei semplici baci di Dama.	
PrimaGiornata-passaggio_lounge_giorno_uno-e0d7bbd2	YOU: Semplici. Certo.	
PrimaGiornata-passaggio_lounge_giorno_uno-a3f01212	Quello: Ora vado a pulire le unghie de il Divo, che poverino da solo non riesce. A dopo, è stato bello parlarti. Parlare.	
PrimaGiornata-passaggio_lounge_giorno_uno-722dcd35	ilDivo: No no, niente Oprah per me, non mi abbasso certo al suo livello!	
PrimaGiornata-passaggio_lounge_giorno_uno-8fd51671	ilDivo: Ehi, ehi tu!	
PrimaGiornata-passaggio_lounge_giorno_uno-c3054c02	YOU: Dici a me?	
PrimaGiornata-passaggio_lounge_giorno_uno-e4aecb5c	ilDivo: Sì, a te, mica c'è altra gente in giro. Ah no, sì, ero al telefono con la segretaria. Di nuovo! Che ce l'hai un po' di <b>zafferano</b>?	
PrimaGiornata-passaggio_lounge_giorno_uno-3044a837	YOU: Sento un attimo lo spaccino e ti dico.	
PrimaGiornata-passaggio_lounge_giorno_uno-e3ac2e26	ilDivo: Ok, senti se ha anche della bamba allora.	
PrimaGiornata-passaggio_lounge_giorno_uno-0423bc7d	YOU: Per questo sei tutto giallo?	
PrimaGiornata-passaggio_lounge_giorno_uno-f8b38221	ilDivo: Guarda che son rosso. Te li ha insegnati Dogron, i colori?	
PrimaGiornata-passaggio_lounge_giorno_uno-f95bb227	YOU: Tu hai idea di dove siamo, piuttosto?	
PrimaGiornata-passaggio_lounge_giorno_uno-94561fcf	ilDivo: Stagista inutile. Sempre inutili, cristo!	
PrimaGiornata-passaggio_lounge_giorno_uno-aece9cd0	ilDivo: No no, non parlavo con te. Oh, madonna, ascolta, ci sentiamo dopo. E vedi di fare quelle tre ore di straordinario non pagato per cui siamo d'accordo, va bene?!?!	
PrimaGiornata-passaggio_lounge_giorno_uno-1421b3a5	ilDivo: E pulisci la cucina, non mi importa che il ristorante sia chiuso.	
PrimaGiornata-passaggio_lounge_giorno_uno-f49a8998	ilDivo: Eccomi, ovviamente ti starai chiedendo cosa ci faccio qui.	
PrimaGiornata-passaggio_lounge_giorno_uno-c3054c02	YOU: Dici a me?	
PrimaGiornata-passaggio_lounge_giorno_uno-1fee7ce9	ilDivo: E a chi sennò, bauscia?!? Vuoi un autografo, immagino?	
PrimaGiornata-passaggio_lounge_giorno_uno-1e884e89	ilDivo: O il mio segreto per <b>mantecare</b> il risotto ala milanese?	
PrimaGiornata-passaggio_lounge_giorno_uno-d2205572	ilDivo: Che sei single?	
PrimaGiornata-passaggio_lounge_giorno_uno-771f225c	ilDivo: Ah, ma non mi far perdere tempo. Cercami Quello, e portami un paio di etti di caviale e coca per la merendina del campione.	
PrimaGiornata-cucina_giorno_uno-b34ddeae	Total è	
PrimaGiornata-cucina_giorno_uno-395428ab	1	
PrimaGiornata-cucina_giorno_uno-359010b0	2	
PrimaGiornata-cucina_giorno_uno-106e83bb	3	
PrimaGiornata-cucina_giorno_uno-cad41c3a	done	
PrimaGiornata-cucina_giorno_uno-c5b07325	DOGRON: Uh, ma una persona qui ha usato la possibilità di scampare la morte, anche se ha perso! Fortunata questa persona casuale, sì sì!	
SecondaGiornata-passaggio_lounge_giorno_due-c3334a37	DOGRON: Ma persone amiche, siamo già alla seconda giornata di THE GOOD DOG (very very good dog!) SHOW!!! Non siete suuuuuupermegafelici e scodinzolanti?!? Oh, quanto non vorrei vedervi mai andare via!	
SecondaGiornata-passaggio_lounge_giorno_due-036c91ee	DOGRON: Ma se non eliminassimo qualcuno, come potremmo trovare un sostituto perfetto per, per, per la cucina più grande di Urano?	
SecondaGiornata-passaggio_lounge_giorno_due-a3b024c0	DOGRON: E a proposito di Uuuuuuuurano, il tema di oggi è: un pasto per quando vengono i veri veri amici!	
SecondaGiornata-passaggio_lounge_giorno_due-0ddf29a9	DOGRON: Vi lascio qualche minuto per le chiacchiere e poi si parte!	
SecondaGiornata-passaggio_lounge_giorno_due-10ac80e5	$	
SecondaGiornata-passaggio_lounge_giorno_due-deee1def	@BeBe	
SecondaGiornata-passaggio_lounge_giorno_due-10338ff7	@UgoEMimi	
SecondaGiornata-passaggio_lounge_giorno_due-f2ef8485	@Piiiietro	
SecondaGiornata-passaggio_lounge_giorno_due-ba80acbb	@Quello	
SecondaGiornata-passaggio_lounge_giorno_due-97c665a7	@ilDivo	
SecondaGiornata-passaggio_lounge_giorno_due-38b13b04	UgoEMimi: Mimi, no, sei tu che non capisci! Kojima l'ha paragonato a <b>Skyrim</b>! E Kojima non sbaglia mai!	
SecondaGiornata-passaggio_lounge_giorno_due-0b3378df	UgoEMimi: Ugo, non voglio contraddirti, lo sai, ma era un sogno!	
SecondaGiornata-passaggio_lounge_giorno_due-980a7040	UgoEMimi: E mi dici che i sogni mentono, eh?! Non sognavi di cucinare per sempre, e ora vedi dove siamo?	
SecondaGiornata-passaggio_lounge_giorno_due-c9292e52	UgoEMimi: Il mio sogno era aprire un negozio di attrezzi per elettricisti, non cucinare <b>vol-au-vent</b> tutto il sabato per quei buzzurri dei tuoi amici!	
SecondaGiornata-passaggio_lounge_giorno_due-87e331c4	UgoEMimi: Mimi, stai esagerando, ora! E sai cosa succede quando mi incazzo!	
SecondaGiornata-passaggio_lounge_giorno_due-8cffc3b8	YOU: Signor Ugo, quindi sta creando un videogioco?	
SecondaGiornata-passaggio_lounge_giorno_due-2f3a2ad3	UgoEMimi: Oh, più di un videogioco, IL videogioco! Sarà uno sparatutto slasher stealth ma non troppo con elementi 4X e una gara di macchine e gestione delle risorse in modalità multiplayer con microtransazioni, NFT e un sacco di DLC!	
SecondaGiornata-passaggio_lounge_giorno_due-5e45bb8f	UgoEMimi: Ma per ora Ugo ha creato solo il titolo e una cover con Paint.	
SecondaGiornata-passaggio_lounge_giorno_due-179fb569	YOU: Signora Mimi, quindi è appassionata di elettricismo, si dice così?	
SecondaGiornata-passaggio_lounge_giorno_due-82f5343a	UgoEMimi: Una donna non può appassionarsi di elettricità, Mimì è brava solo a pulire, cucinare e stirare.	
SecondaGiornata-passaggio_lounge_giorno_due-538ade14	UgoEMimi: Infatti viviamo solo in una casa dove ho fatto tutte le messe a terra.	
SecondaGiornata-passaggio_lounge_giorno_due-288cffef	YOU: Non so cosa abbiate, ma nel culto se non ti fai i cazzi tuoi muori male. Ciaone.	
SecondaGiornata-passaggio_lounge_giorno_due-004d3c21	BeBe: Ma ciao! Chi l'avrebbe mai detto che sarei sopravvissuta al primo giorno? Nella non ce l'ha fatta.	
SecondaGiornata-passaggio_lounge_giorno_due-84a0fb93	 BeBe: Comunque ieri non ho avuto modo di presentarmi, sono BeBe, madre single di otto, ehm, sette agnelline.	
SecondaGiornata-passaggio_lounge_giorno_due-49d520d2	YOU: Nella?	
SecondaGiornata-passaggio_lounge_giorno_due-f24d4eb3	BeBe: Una lunga storia, una lunga lunga storia.	
SecondaGiornata-passaggio_lounge_giorno_due-66fbe2b8	YOU: Perché giri con una mannaia?	
SecondaGiornata-passaggio_lounge_giorno_due-e1c0e5a5	BeBe: Mannaia? Quale mannaia?	
SecondaGiornata-passaggio_lounge_giorno_due-3eba9482	YOU: Mi dispiace per chi è uscito. Ma scusa, chi è uscito?!?	
SecondaGiornata-passaggio_lounge_giorno_due-c9c6fb96	BeBe: Secondo te mi ricordo i nomi di tutti voi, con le mie agnelline a casa?	
SecondaGiornata-passaggio_lounge_giorno_due-a42e0754	BeBe: Ma parliamo di cose belle, visto il tema di oggi: hai persone amiche che ti aspettano? Io ho solo le mie otto, uh, sette figlie, e sono la loro migliore amica.	
SecondaGiornata-passaggio_lounge_giorno_due-b69bb05e	BeBe: La migliore mamma e amica che ci sia. Farei di tutto per loro!	
SecondaGiornata-passaggio_lounge_giorno_due-8b18c589	YOU: Certo, se ne sei convinta tu...	
SecondaGiornata-passaggio_lounge_giorno_due-78e18cf0	YOU: Ho Micia che mi aspetta a casa, lei è la mia vita.	
SecondaGiornata-passaggio_lounge_giorno_due-9ce007db	YOU: Ci sono un po' di persone nel culto con cui vado d'accordo, sai? Ma non troppe.	
SecondaGiornata-passaggio_lounge_giorno_due-b9c6dcd6	YOU: Hai qualche ricetta segreta su cui puntare, oggi?	
SecondaGiornata-passaggio_lounge_giorno_due-01068403	BeBe: Se te la dicessi, non sarebbe segreta, non trovi?	
SecondaGiornata-passaggio_lounge_giorno_due-502966b1	BeBe: Scherzo, se il tema è "cibo per persone amiche" è ovvio che condivido.	
SecondaGiornata-passaggio_lounge_giorno_due-b43dd44d	BeBe: E tu sei una persona amica per me vero?	
SecondaGiornata-passaggio_lounge_giorno_due-a663010a	YOU: Ceeerto che sì!	
SecondaGiornata-passaggio_lounge_giorno_due-bbfbfb1d	YOU: (menti) Ceeeerto che sì!	
SecondaGiornata-passaggio_lounge_giorno_due-390d97fe	YOU: (ironicamente) Ceeerto che sì!	
SecondaGiornata-passaggio_lounge_giorno_due-4cc139a9	BeBe: Questo mi rassicura. Non amo le persone che mi prendono per le orecchie.	
SecondaGiornata-passaggio_lounge_giorno_due-28cd5734	BeBe: Comunque, pensavo: cos'è la vera amicizia? E ovviamente ho pensato alle mie otto, ehm, sette figlie. E cosa amano fare quando siamo tutte assieme? I videogiochi!	
SecondaGiornata-passaggio_lounge_giorno_due-d127765a	BeBe: Mi diverte un sacco quando dicono in modo affettuoso "No mamma, non giocare con noi stasera, ti preghiamo!". Son così tenere.	
SecondaGiornata-passaggio_lounge_giorno_due-02b372c9	BeBe: E quindi pensavo di fare dei cestini con dei <b>blocchi d'erba</b> fritti, e le <b>uova di pecora</b>.	
SecondaGiornata-passaggio_lounge_giorno_due-4dc7c799	YOU: Uova di pecora?	
SecondaGiornata-passaggio_lounge_giorno_due-c7cd8f23	BeBe: Certo. In amicizia il sacrificio è importante!.	
SecondaGiornata-passaggio_lounge_giorno_due-f6c4f229	BeBe: Ma ora devo andare un attimo a covare. A dopo!	
SecondaGiornata-passaggio_lounge_giorno_due-33c9a231	YOU: Ehm, a dopo.	
SecondaGiornata-passaggio_lounge_giorno_due-0e0faac0	Piiiietro: <b>Tonno in scatola</b> e <b>scolare</b>.	
SecondaGiornata-passaggio_lounge_giorno_due-62e2e0c0	YOU: Come, scusa?	
SecondaGiornata-passaggio_lounge_giorno_due-1630d4fa	YOU: Ah, perfetto, a dopo.	
SecondaGiornata-passaggio_lounge_giorno_due-7c7c9203	YOU: Non sai cucinare altro?	
SecondaGiornata-passaggio_lounge_giorno_due-41120b8d	Piiiietro: Che ho visto ieri che guardavi cosa stavo cucinando. Fanno tutte così, a copiare il lavoro delle altre persone, e poi.	
SecondaGiornata-passaggio_lounge_giorno_due-e5f96d48	YOU: Potrebbe sorprenderti, ma cucino persino peggio di te.	
SecondaGiornata-passaggio_lounge_giorno_due-4178734e	Piiiietro: Non esageriamo, ho visto cosa hai tirato fuori ieri!	
SecondaGiornata-passaggio_lounge_giorno_due-ad1cfe9e	YOU: Hai trovato poi il tuo cane?	
SecondaGiornata-passaggio_lounge_giorno_due-9476135f	Piiiietro: No, e ho trovato la sua pelliccia di zibellino russo abbandonata dietro una poltrona.	
SecondaGiornata-passaggio_lounge_giorno_due-964b2f56	Piiiietro: Ma fa sempre così, quando gli vieto di andare in vacanza da qualche parte.	
SecondaGiornata-passaggio_lounge_giorno_due-6d84ad1f	YOU: Ma il rosario poi?	
SecondaGiornata-passaggio_lounge_giorno_due-1ae9ae81	Piiiietro: Credo di averlo visto addosso a Dogron, dovrò indagare meglio.	
SecondaGiornata-passaggio_lounge_giorno_due-323eeef4	Piiiietro: Comunque ieri la produzione mi ha detto che non me ne posso andare, che ho firmato un contratto, e che se l'errore è del mio agente a loro non cambia nulla.	
SecondaGiornata-passaggio_lounge_giorno_due-85a0e2a5	YOU: Agente?	
SecondaGiornata-passaggio_lounge_giorno_due-f4c99068	Piiiietro: Agente matematico. Facciamo sfide tipo come il rap, ma a suon di equazioni. Non sembra ma è superfaticoso, l'anno scorso due concorrenti sono morti disidratati pur di finire, oh, non ricordo manco cosa, tanto vinco sempre.	
SecondaGiornata-passaggio_lounge_giorno_due-18f401f0	Piiiietro: Sono così brava in matematica.	
SecondaGiornata-passaggio_lounge_giorno_due-296185f8	Piiiietro: Ma ora ti saluto, che devo sistemare i diamantini sui denti prima dell'episodio.	
SecondaGiornata-passaggio_lounge_giorno_due-0491f604	 Piiiietro: Ah, ieri non ci siamo presentate: mi chiamo Piiiietro.	
SecondaGiornata-passaggio_lounge_giorno_due-5022661a	 Quello: Ciao! Io sono Quello, o Quello Lì a volte. Ti guardavo cucinare ieri e woah, te la cavi benissimo!	
SecondaGiornata-passaggio_lounge_giorno_due-9eb5efe7	Quello: Io sono un po' in difficoltà oggi, sai?	
SecondaGiornata-passaggio_lounge_giorno_due-f5caa7e7	Quello: Tutti i miei "veri amici" sono morti, sai?	
SecondaGiornata-passaggio_lounge_giorno_due-63d47775	YOU: Ma come quella battuta sui dinosauri?	
SecondaGiornata-passaggio_lounge_giorno_due-b9b09a13	YOU: Questo è il momento in cui devo dire che mi dispiace, vero?	
SecondaGiornata-passaggio_lounge_giorno_due-812cce39	YOU: Ho visto una pecora molto amichevole prima. Se vuoi parlare con lei...	
SecondaGiornata-passaggio_lounge_giorno_due-7d90f0b4	Quello: Non ti ammorbo con questa storia triste, promesso. Però non riesco a non pensare a ricette che non abbiano delle <b>lacrime</b>. Un sacco.	
SecondaGiornata-passaggio_lounge_giorno_due-06e4de1a	YOU: Non rovinano il sapore?	
SecondaGiornata-passaggio_lounge_giorno_due-44fb795f	Quello: Dipende. Con il <b>cacao amaro</b> il salato ci sta bene. Potrei fare una torta.	
SecondaGiornata-passaggio_lounge_giorno_due-c375c538	Quello: Una torta da non dividere con nessuna persona.	
SecondaGiornata-passaggio_lounge_giorno_due-b09cdc20	Quello: A parte il Divo, che non mangerebbe però mai, perché gli farebbe schifo sulla fiducia. E ha ragione.	
SecondaGiornata-passaggio_lounge_giorno_due-a6a547b3	Quello: Scusa, la tristezza è vietata dal contratto di lavoro. A dopo, in bocca al lupo!	
SecondaGiornata-passaggio_lounge_giorno_due-8d67774e	ilDivo: Ho capito che è il Papa, ma può pure aspettare, che c'ho da aprire una nuova sede a Dubai prima di pranzo, va bene?!?	
SecondaGiornata-passaggio_lounge_giorno_due-45ae2a5b	YOU: Ma perché mi ostino a parlare con questo?	
SecondaGiornata-passaggio_lounge_giorno_due-301fdcf3	ilDivo: Ma ciao splendore! Ci conosciamo?	
SecondaGiornata-passaggio_lounge_giorno_due-ed16ca1e	YOU: Abbiamo parlato ieri assieme, tipo. Oprah, la bamba, lo zafferano?	
SecondaGiornata-passaggio_lounge_giorno_due-ec0fe6bc	YOU: Non ho ancora avuto la fortuna, no.	
SecondaGiornata-passaggio_lounge_giorno_due-acc0299b	ilDivo: Mi chiamano il Divo, ma è un eufemismo. Pensa che alla Casa Bianca hanno un mio ritratto, così per dire.	
SecondaGiornata-passaggio_lounge_giorno_due-241d87d1	ilDivo: Sulla Treccani c'è la mia foto sotto la definizione di "In", non come la preposizione ovvio ma che te lo dico che forse non hai fatto le medie ma te l'ho già chiesto, sei single?	
SecondaGiornata-passaggio_lounge_giorno_due-9b4378c4	YOU: Sì, e ogni volta che incontro un uomo mi ricordo perché.	
SecondaGiornata-passaggio_lounge_giorno_due-2d90079d	YOU: No, ho qualcuno che mi aspetta a casa, ma non so come tornarci!	
SecondaGiornata-passaggio_lounge_giorno_due-6483208c	YOU: Credo di avere una cotta per una delle persone qui in studio.	
SecondaGiornata-passaggio_lounge_giorno_due-5554b608	ilDivo: Ovvio che poi ti innamori di me, ovvio. Bella Hadid ha deciso di non <b>specchiarsi</b> più dopo che mi ha visto.	
SecondaGiornata-passaggio_lounge_giorno_due-424ec958	ilDivo: Però poi la vita è difficile.	
SecondaGiornata-passaggio_lounge_giorno_due-268283e1	ilDivo: Perché ti dicono "Ehi, che fortuna essere una specie con 23000 generi sessuali diversi, deve essere una gran bazza", ma poi anche da noi ci son cose binarie, e finisce che io mi innamoro, e...	
SecondaGiornata-passaggio_lounge_giorno_due-6f22ae7a	ilDivo: Ma che ti sto a dire? Io sono roba che <b>scotta</b> baby, mica mi puoi agguantare così! E ora devo lavorare, lavorare, produrre, riempire il vuoto! Vattene!	
SecondaGiornata-cucina_giorno_due-b34ddeae	Total è	
SecondaGiornata-cucina_giorno_due-395428ab	1	
SecondaGiornata-cucina_giorno_due-359010b0	2	
SecondaGiornata-cucina_giorno_due-106e83bb	3	
SecondaGiornata-cucina_giorno_due-cad41c3a	done	
SecondaGiornata-cucina_giorno_due-eef725c6	DOGRON: Uh, ma una persona qui ha usato la possibilità di scampare la morte, anche se ha perso! Fortuuuuuuuunata questa persona casuale, sì sì!	
TerzaGiornata-passaggio_lounge_giorno_tre-693c6ac6	DOGRON: Buondì a tuuuuuuuuuuuutte e benvenute alla terza puntata di THE VERY VERY VERY GOOD GOOD DOG SHOW!	
TerzaGiornata-passaggio_lounge_giorno_tre-d57ef6fd	DOGRON: Non sentite un po' la tristezza? Già due persone ci hanno lasciate, e a me non va di farvi andare via, nuuuuuuuuuuuu!	
TerzaGiornata-passaggio_lounge_giorno_tre-87be704c	DOGRON: Ma la Suprema Chihuahua e il Gran Consiglio dei Carlini- no, nella loro saggezza loro sanno che è importante trovare la padroncina perfetta, no, la personcina perfetta per il ristorante su Satuuuuuurno!	
TerzaGiornata-passaggio_lounge_giorno_tre-db6552eb	DOGRON: E di sicuuuuuro questa persona magnifica con delle mani magnifiche che fanno dei bellissimi pat-pat sulla testa, deve sapere fare una ricetta per...	
TerzaGiornata-passaggio_lounge_giorno_tre-f5f9290e	DOGRON: ... quando ti senti triste perché tuuuuuuutti gli uuuumani sono scomparsi!	
TerzaGiornata-passaggio_lounge_giorno_tre-12d48d2a	DOGRON: Come sempre avete qualche minuto per le chiacchiere, e poi si inizia a cuuuucinare!	
TerzaGiornata-passaggio_lounge_giorno_tre-10ac80e5	$	
TerzaGiornata-passaggio_lounge_giorno_tre-deee1def	@BeBe	
TerzaGiornata-passaggio_lounge_giorno_tre-10338ff7	@UgoEMimi	
TerzaGiornata-passaggio_lounge_giorno_tre-f2ef8485	@Piiiietro	
TerzaGiornata-passaggio_lounge_giorno_tre-ba80acbb	@Quello	
TerzaGiornata-passaggio_lounge_giorno_tre-97c665a7	@ilDivo	
TerzaGiornata-passaggio_lounge_giorno_tre-2676a0b2	UgoEMimi: ...	
TerzaGiornata-passaggio_lounge_giorno_tre-b3777ca4	YOU: So che me ne pentirò di dirlo, ma mi sembrate molto silenziose, oggi.	
TerzaGiornata-passaggio_lounge_giorno_tre-60fddf52	UgoEMimi: Ugo ha parlato con uno dei produtti, per il suo videogioco.	
TerzaGiornata-passaggio_lounge_giorno_tre-c5afd410	UgoEMimi: Venditori di cianfrusaglie, sono. Ma lo sapevi che i produttori sono dei carlini?!?!	
TerzaGiornata-passaggio_lounge_giorno_tre-9cd09889	UgoEMimi: E gli è stato detto che il progetto manca di una narrazione coerente, e di una connessione tra gameplay, narrativa ed elementi grafici.	
TerzaGiornata-passaggio_lounge_giorno_tre-05b94d00	UgoEMimi: Mi hanno detto in sostanza che non ha senso! Che è un gioco dove accadono cose senza senso! Ma io gioco <b>i veri videogiochi</b> da sempre! Questi son carlini da walking simulator e visual novel!	
TerzaGiornata-passaggio_lounge_giorno_tre-5073dd1b	YOU: E ora che farete?	
TerzaGiornata-passaggio_lounge_giorno_tre-79c93e18	UgoEMimi: Oh, io cucinerò dei <b>canapé</b> mentre Ugo si riprende dal dolore.	
TerzaGiornata-passaggio_lounge_giorno_tre-d5e9dae0	UgoEMimi: Io non soffro! Gli uomini non soffrono!	
TerzaGiornata-passaggio_lounge_giorno_tre-f96c1054	UgoEMimi: E allora cosa sono, quelle lacrime?	
TerzaGiornata-passaggio_lounge_giorno_tre-7231a215	YOU: Non siete spaventati per quella cosa degli umani scomparsi?	
TerzaGiornata-passaggio_lounge_giorno_tre-404b2eeb	UgoEMimi: Uh, mi spiace per loro, ma non siamo mai andati d'accordo con gli umani. Non dopo il fallimento del Virtual Boy.	
TerzaGiornata-passaggio_lounge_giorno_tre-49466b94	UgoEMimi: Parla per te, Ugo. Personalmente ho sempre amato gli umani, mi veniva una pizzaiola buonissima quando potevo ancora cucinarli.	
TerzaGiornata-passaggio_lounge_giorno_tre-47562000	YOU: Oh, e io che temevo di esser l'unica persona ad aver mangiato carne umana!	
TerzaGiornata-passaggio_lounge_giorno_tre-d8da4de4	YOU: Ho troppe schifezze in corpo perché la mia carne sia gustosa.	
TerzaGiornata-passaggio_lounge_giorno_tre-ca3af482	YOU: Credo sia giunto il momento per me di andare su Urano.	
TerzaGiornata-passaggio_lounge_giorno_tre-9d04ce34	BeBe: Ehi, ciao, ero distratta e non mi sono accorta del tuo arrivo.	
TerzaGiornata-passaggio_lounge_giorno_tre-12aa3a89	YOU: Tutto ok?	
TerzaGiornata-passaggio_lounge_giorno_tre-0397279f	BeBe: Oh sì certo, sono così felice di essere qui!	
TerzaGiornata-passaggio_lounge_giorno_tre-a0368752	YOU: Nel culto dicono: "La distrazione è il dono di Belial".	
TerzaGiornata-passaggio_lounge_giorno_tre-9ee33ae6	BeBe: Belial? Culto?	
TerzaGiornata-passaggio_lounge_giorno_tre-24b8a0ec	YOU: Come mai la zampetta fasciata?	
TerzaGiornata-passaggio_lounge_giorno_tre-4d92e441	BeBe: Uh, un errore durante la pedicure.	
TerzaGiornata-passaggio_lounge_giorno_tre-1093c6b6	BeBe: Piuttosto: sei qui da tre episodi ormai, e non racconti molto di te. Ti va di confidarmi qualcosa, qualcosa che rimarrà tra te e me?	
TerzaGiornata-passaggio_lounge_giorno_tre-9704ca1b	YOU: Quando sogno vedo l'arrivo dell'Apocalisse, e tutti i Cavallieri dell'Apocalisse hanno il volto di Barbara d'Urso.	
TerzaGiornata-passaggio_lounge_giorno_tre-202fd863	BeBe: Credo sia una cosa comune dopo la cacciata da Pomeriggio 5.	
TerzaGiornata-passaggio_lounge_giorno_tre-f7d0cc10	YOU: Sono la seconda persona più importante del fanclub di Gabriella Golia.	
TerzaGiornata-passaggio_lounge_giorno_tre-3ec8168a	BeBe: Chi?	
TerzaGiornata-passaggio_lounge_giorno_tre-0a95434f	YOU: Non so come mai sono qui, temo sia una punizione del culto per quell'errore con Ermenegildo.	
TerzaGiornata-passaggio_lounge_giorno_tre-bc37f9df	BeBe: Sembri una persona molto confusa, sai?	
TerzaGiornata-passaggio_lounge_giorno_tre-a2121ab5	BeBe: Ma, non trovi un po' strano il tema di oggi? In che senso "gli umani sono tutti scomparsi"? E poi cosa sono gli umani?	
TerzaGiornata-passaggio_lounge_giorno_tre-f9090e69	YOU: Ehm, io sono una persona umana?	
TerzaGiornata-passaggio_lounge_giorno_tre-afe8578c	BeBe: Uh, ecco perché quella faccia senza peli, e il fatto che non rumini! Che buffo. E da dove vieni ci sono anche le pecore?	
TerzaGiornata-passaggio_lounge_giorno_tre-09a3f821	YOU: Moltissime, sono tra gli animali più diffusi.	
TerzaGiornata-passaggio_lounge_giorno_tre-56b664eb	BeBe: In che senso, animali? Certo, deve essere un luogo evoluto, con così tante pecore, bene bene!	
TerzaGiornata-passaggio_lounge_giorno_tre-a2cbcc23	YOU: Le alleviamo per mangiarle, fare la lana, farci il latte.	
TerzaGiornata-passaggio_lounge_giorno_tre-4333074f	BeBe: Ah. Mi sa che torno alle mie cose. Ciao.	
TerzaGiornata-passaggio_lounge_giorno_tre-53039141	YOU: Sì, esatto, molto evoluto, ehm.	
TerzaGiornata-passaggio_lounge_giorno_tre-1563884a	YOU: Beh, sono ottimi animali sacrificali per il Culto!	
TerzaGiornata-passaggio_lounge_giorno_tre-4ad82bca	BeBe: In che senso? No, non lo voglio sapere. Non voglio.	
TerzaGiornata-passaggio_lounge_giorno_tre-d7eeb7fb	BeBe: Oggi voglio colpire DOGRON: la scomparsa comporta sofferenza, e la sofferenza si supera col dolore. Per questo cucinerò qualcosa <b>mungendomi</b> e poi <b>cardando</b> la mia stessa lana.	
TerzaGiornata-passaggio_lounge_giorno_tre-d7db23d1	BeBe: Per questo ti saluto ora, e ti auguro il meglio.	
TerzaGiornata-passaggio_lounge_giorno_tre-c5747222	Piiiietro: Eppure ero sicura che fosse un RE minore.	
TerzaGiornata-passaggio_lounge_giorno_tre-62e2e0c0	YOU: Come, scusa?	
TerzaGiornata-passaggio_lounge_giorno_tre-0b9ecb65	YOU: Eri sotto di un semitono.	
TerzaGiornata-passaggio_lounge_giorno_tre-235d0685	YOU: Ok, Carlo fa un po' cacare, però chiamarlo Re minore è crudele!	
TerzaGiornata-passaggio_lounge_giorno_tre-3fe68b46	Piiiietro: Ma che tu entri sembre così, nelle stanze degli altri? Che cosa tamarra!	
TerzaGiornata-passaggio_lounge_giorno_tre-7aca2788	YOU: A dire il vero questa è la lounge, ed è comune. Ma perché tu hai una stanza tua?	
TerzaGiornata-passaggio_lounge_giorno_tre-c0928f9a	Piiiietro: Certo, sennò dove lo piazzavo il lettino UV e il sistema di casse?	
TerzaGiornata-passaggio_lounge_giorno_tre-2785c0dc	YOU: Ti prego ti prego dammi qualcosa che sembri del sole per un'ora!	
TerzaGiornata-passaggio_lounge_giorno_tre-5021c149	Piiiietro: E se poi mi attacchi un eritema solare?!?	
TerzaGiornata-passaggio_lounge_giorno_tre-0f25b241	YOU: Sistema di casse? Quindi eri tu a cantare prima?	
TerzaGiornata-passaggio_lounge_giorno_tre-1b30f7cd	Piiiietro: NO.	
TerzaGiornata-passaggio_lounge_giorno_tre-afbf625f	YOU: Ma io non ho una stanza, dormo tra le travi sopra la cucina.	
TerzaGiornata-passaggio_lounge_giorno_tre-f8f90937	Piiiietro: E qui si vede chi ha un agente e chi no, mi dispiace!	
TerzaGiornata-passaggio_lounge_giorno_tre-19753f16	Piiiietro: Forse comunque ci fanno fare un karaoke. Piccolo, stasera, dopo la prova. Sembra che la mia pasta con <b>tonno in scatola</b> e pure <b>scolata/b> male sia un successone. La ripropongo anche stasera!	
TerzaGiornata-passaggio_lounge_giorno_tre-172200e5	YOU: Ma a te il tema non preoccupa, per caso?	
TerzaGiornata-passaggio_lounge_giorno_tre-1fd1d280	Piiiietro: E perché dovrebbe?	
TerzaGiornata-passaggio_lounge_giorno_tre-6f9a30c0	YOU: Insomma, vedi altre persone umane?	
TerzaGiornata-passaggio_lounge_giorno_tre-5278d439	Piiiietro: Ehi dolcezza, parla per te! Sono un genio della matematica, un'entità astratta, la definizione stessa della sezione aurea. E vesto leopardato. Col cazzo che sono un'umana!	
